,0
22,whooaa ohh ohhhh ohoohhohh ohhwooaah story of undertale
23,A nice unique take on the RPG indie game format by incorporating really good ideas funny interactions an incredibly subtle story and wonderful music Definitely must play if you have not already 
24,this games worldbuilding is incredible with its amazing soundtrack and gorgeous art direction it really makes you feel like you re spiderman one of the best value in gaming tbh this game is packed full of content and none of it feels like filler even the boss rush manages to feel fresh by introducing some surprise bosses boss variants as rewards for beating tough pantheons cant wait to play silksong when turn 80 
25,This isn just game this is an entire experience n was not too much into Metroidvania games and then tried this without any expectation it became one of my favorite games of all time and brought me into the genre now m seeking for similar adventures and can wait for Silksong n ve done all 112 in my first run and now m beating the game again then ll aim to master the game on Steam and this is the first time game instigated me to do that Masterpiece 
26,Faz uns 2 3 anos que eu zerei esse jogo mesmo assim nunca saiu da minha memória n Vou rejogar para fazer uma análise mais aprofundada
27,i like how you can bounce on spikes with your nail good casual game that offers additional challenges for people that are socially challenged
28,A rivetting action adventure game with stunning design Extremely rewarding but also gruesomly difficult at times 
29,I 
30,ive this
31,me
32,for each individual aspect platforming exploration combat but the integration and packaging of the content are so good it slightly better that the sum of its parts Most of the combat and traversal abilities feel useful and many evoke that Super Metroid gleeful feeling that you ll finally be able to access that new area grab that item or beat that boss The end game challenges reminiscent of Wiley fortress and boss rushes after Megaman has fully self actualized were the highlight Boss rushes in particular were fun to dissect and master found uses for some charms had written off as not my style to counter some of the unconventional boss mechanics My only gripes n The repeated backtracking get it fast travel mechanic that too liberal can erase the environment but this was excessive n Some of the charms seemed worthless even after strategizing for boss combat and platforming rushes n In the name of decency and civility make geo sucking ability automatic 
33,Minecraft is what you make of it Unfortunately theres no reason to do anything 
34,muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer até zerar jogo minecraft é um jogo incrível fica melhor cada atualização nunca zerei mesmo depois de muitos anos 
35,Jogo incrível muito divertido com amigos fica ainda mais legal 
36,baby gammeeee n had the most fun playing when it was first released sory n still fun for couple of hours when playing with people tho 
37,Майнкрафт сука это моя жизнь блядь МАЙНКРААААФТ Ой мама пришла 
38,E um game maneiro mais jogar ele sem amigos ou sem mods é meio chato
39,The best game ve played in my life
40,omori is game held up by it heartbreaking emotional story and lifelike characters and ultimately let down by lackluster battle mechanics and gimmicky otherworld 
41,I FUCKING LOVE AIR CONDITIONING 
42,didnt close my eyes
43,Still not finished but loving the game
44,One of my favorite games of all time it definitely has flaws with it 
45,acing god fucking hate sweetheart castle section but the twist and just overall the characters are so likeable and well written like Aubrey Kel and Hero don really care too much about Sunny but he alright guess gets the job done feel basil could definitely use some more screentime the guy rarely gets any in the real world section of the game The writing is
46,etty good too though m not fan of the le qui
47,random indie game writing xdddd like this game has but there were times where it did make me chuckle 
48,Have only been Metroid fan for couple of years but think this was worth the 19 year wait
49,The most unexpected Nintendo release of 2021 pretty good offering by Mercury Steam while some ideas are questionable like these invulnerable bosses that need to be avoided they do add up to the tension The final boss is unforgiving and punishes hard 
50,The best 2D metroid has been The art design in this one pops out so much you ll remember distinct areas for later The abilities are so fast in this one and some puzzles require some strong thinking even knowing where the item locations are 
51,there was nothing dreadful about this game nothing 
52,context sensitive grappling hooks are hatecrime
53,This is by far the best 2D Metroid Not only is the game loop refined but the cinematics and story really surprised me Samus exudes badass every moment shes on screen must play Also the bosses are god damn brutal compared to previous Metroids 
54,it a solid party game m bad at lying though and it makes me feel bad not complaint with the game it a complaint with myself that makes it harder for me personally to enjoy
55,ඞ amogus
56,lie to your friends simulator
57,Amogus
58,I vote we just shoot Wawa into space and see what happens 
59,ya beat among us what about it
60,Holy shit
61,im carrying the weight of the wooooooooooooooooooorld
62,no me llamaba la atención lo compré por el precio un cacho de curiosidad me volvió totalmente loco todo la historia el arte el mundo la BANDA SONORA SEXO
63,NieR Automata is an unforgettable game Androids vs Machines all while trying to save humanity and uncover the cold truth of this post apocalyptic world 2B and 9S share common goal but have differing views through the story The combat is more fleshed out than its predecessor due to chips and pod mechanics Characters change and face reality after meeting characters and concepts never seen before 
64,This is my favorite game ever and the only game cared enough about to get the platinum trophy in might be biased here but the game has lot of things loved going in like the post apocalyptic setting The game isn perfect and while things like the 9s hacking and route pushed lot of people away still thoroughly enjoyed it Getting ending and the final shut em up section in the credits ending with me giving up my save file to protect fellow player is one of the most beautiful moments ve seen in fiction as whole
65,Verdadeiro goty 2017 zelda é caralho Vai tomar no cu Ryuji
66,This game is great and to many people this is probably one of the greatest JRPGs if not overall game of all time see that 100 but personally have my nitpicks with it such as n The pacing of the game n The fact it only gets good 30 40 hours into the game n The fact that essential strategic and most importantly fun mechanics are locked behind confidants such as switching your party mid battle n The lack of freedom to do what you want n Similar to SMT IV IV and maybe other SMT Persona games idk they sell DLC for super powerful personas In SMTIV at least these were entirely optional and you had to purchase them In Persona 5 Royal they included the DLC which again could ignore if they are optional but can Unlike in pervious games there are legitimate fusions using legitimate personas that allow you to straight up just get these P2W personas naturally which absolute fathom and throws the balance of the game out the window n And more importantly the entirety of Kasumi character pre third semester want to punch her 
67,Vanilla was my first persona and smt game Kinda feels like coming home whenever play it
68,If you have spare 100 hours lying around do this was pretty good 4 better tho 
69,i love goro akechi
70,Played like 50 hrs guess finished half or two thirds of it Cannot say didn like Persona 5 at all but this sort of infantile fleur around the characters and situations got me at last played some SMT games and they seemed much more sophisticated and thoughtful especially the 4th However cannot say that Persona 5 is bad game although my experience with it was bit rough had this state of waiting for something like 5 10 hours more and something incredible would happen for sure characters pull off some weird moves and the real Persona the one everyone is so hyped up about would begin Never happened Might finish it sometime later tho whenever vibes come back 
71,Press to Meow
72,like nya 
73,You are cat thats all 
74,There no way an orange cat could be this smart
75,JOGO DO BK
76,CAT CAT CAT CAT CAT CAT CAT
77,freya te vejo como figura materna
78,i ruv 
79,One of the greatest games have ever played 
80,Whenever think about this game epic Norse music plays in my head
81,God Of War is game that understands its audience Kratos is now as tired and old as all of us who played the original games back on the PS2 
82,One of the best games of the Ps4 generation that game changes the style of GOW saga and It hits in the middle of the target It a master piece The story deep imersive and the world of that GOW so Vivid and Beautiful m not sure If the New gameplay an upgrade but It enjoyable n 9 6
83,This is my fav game of all time everything about it is amazing
84,soy muy tonto scar tissue como dicen los chavales de ahora
85,nostalgia
86,Thought Portal was good This game is beyond that This game adds full narrative with characters and guarantee hearing banter between Wheatley Glad0s and Cave Johnson K Simmons Is far better than anything heard today 
87,Juegarral Me encanta como extiende el lore de Aperture laboratories Puzles buenisimos de los mejores cooperativos
88,Top 20 games ever This game made realize love puzzle games even if m bad at them 
89,I not trying to brag but Bloodborne wasn much of challenge for me The beginning was little hard since Bloodborne mechanics are quite different compared to the Dark Souls trilogy but few tries and deaths are enough for someone to get used to the way you play 
90,My favourite in the Soulsborne series 
91,I have very conflicting opinion of this game that may require me to go back for another playthrough 
92,brilliant incredible amazing show stopping spectacular 
93,Perfect
94,The Greatest Game Of All Time 
95,video games 
96,My absolute favorite platformer
97,im bad at platforming
98,Muito maneiro personagens cativantes o pós jogo chega muitas vezes até ser mais divertido para quem gosta de desafio 
99,one of the imo best gaming experiences you can find to this day the dialouge is adorable and heartfelt the music is utterly stunning and the gameplay and level design is that perfect mix of challenging and fun where you sit there for hours just wanting to complete that one jump doing it over and over and when you do complete it you feel so proud of yourself
100,i beat the game 
101,THIS IS PEAK IT IS ONE OF MY FAVORITE GAMES ITS SO GOOD NOT ONLY IS THE STORY AMAZING BUT SIDE CONTENT MAKES THE GAME FEEL LIKE REAL WORLD
102,Simply Yakuza 0
103,yan görev sunumları rezalet
104,I wish Japan was real
105,Super enjoyed this game loved the story and the characters and the entire vibe of it The combat didn super click with me but still had fun beating up enemies and even more fun beating up story characters
106,This game got me back into playing single player games and am eternally grateful for that 
107,overrated as fuck
108,I wanna be cowwwboyyyy baby 
109,shoutout rockstar
110,Sacrifices fun for the sake of realism
111,First playthrough was an incredible experience 
112,Dutch has plan
113,did somebody say CLASSSSICCCC
114,Portal desolate labs with mind bending puzzles are unforgettable The concept of portals themselves are strange but put into gameplay loops really force you to think with portals 
115,genuinely fun puzzle game that makes me realize my IQ is in fact negative but that won stop me from drinking all of the poison goo what it gonna do block my path now already drank it all 
116,there cake at the end 
117,im ngl got stuck like at least 5 times
118,Why do both portal games end in song
119,A really great game just didn stick out as much as it predecessor 64
120,Inspiring how Mario can feel so fresh and original after so many years 
121,i played this game SO many times dont ever wanna touch it again
122,I mean objectively the best Mario game just like Galaxy more
123,Yeah Mario games HIT
124,The first 3D Mario game have truly loved and completed 100 The near perfection of an already glorious formula 
125,The more mature story by recent Pokémon standards lore ramifications for sinnoh and the amazing real time catch mechanics make this game one of the best Pokémon games ever easily though good Pokémon is still far from being good video game generally speaking The textures are muddy the levels especially alabaster Icelands and cobalt coastlands feel janky and overly linear despite the game encouraging more mobile movement and freedom and of course the lack of meaningful presentation through stiff character animations and lack of voice acting hurt this game alot still feel like Pokémon gameplay has peaked here but they just don let these games cook long enough and only get away with it because Pokémon fans only play Pokémon and don branch out to know what actually good
126,Really refreshing take on the series just little empty overall 
127,Great game but it would be better if there was voice acting and no sudden cutscenes every 2 seconds And it gets pretty bad as you play it But if you re finding good first Pokemon game would recommend it tho 
128,Aside from obvious performance issues this was easily the most fun ive had with the Pokemon series since the release of Black White hope we get follow up game in the future that focuses on the unova region and kyurem
129,Put me in feudal japan with an Iphone and probably wouldn get as far as did here
130,PLA the best Pokémon game ve ever played and why ll probably never play another Pokémon game in my life
131,It was great game all round ending felt little rushed
132,Música
133,Bardzo przyjemny gameplay aż noga sama wybija rytm Świetny humor krytykujący korporacje korpożycię 
134,A whole lot of soul put into this game forgot how much really loved hack and slash and especially rhythm musical at the top of it makes it extremely fun was pretty cool story with fun cast Overall banger of game and definitely favorites of the year 
135,isso aqui é um ABSURDO
136,This game came out of no where and felt like it hit me like sucker punch from professional boxer always have soft spot for good rhythm game and Hi Fi Rush hits that spot just right 
137,This game is so jank but so entertaining
138,RULES OF NATURE
139,Metal Gear Rising Revengeance Review Memes Raiden Memes 
140,Quando ganhei meu Xbox 360 em 2014 esse jogo veio junto meu Deus eu joguei essa bagaça minha vida inteira ainda jogo até hoje Lembro de na época ninguém gostar tanto do jogo principalmente por fugir muito do resto da franquia mas mano é um spin off tá ligado Sei que é meio chato ver sua franquia mudando mas maestria que esse jogo faz junto com continuação da história do Raiden que já era um personagem não muito gostado mais um motivo pra não gostarem do jogo faz ele ser um dos jogos mais importantes pra mim Espero um dia platinar mas se eu não consegui em 9 anos acho difícil 
141,brasileiros dão pulo duplo
142,Feel like would have enjoyed this game much more if hack slash was my kind of game
143,People be rating this 3 BITCH BE SERIOUS 
144,incredible spectacle and movie esque cutscenes backed up by memorable characters inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay 
145,Bom jogo importante pra caramba tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história Não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens É divertido muito mesmo a liberdade é ótima Passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias a experiência é ótima Em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação merece respeito pelo que até hoje impressiona 
146,i cannot picture world where someone gives this less than 10
147,I really wanted to love this game more The playing world is stunning with colorful and great recreations of actual locations and landmarks Having to juggle between 3 characters is brilliant idea But found the story to be bit lackluster and overall did not feel as involved with the protagonists as much as was with the previous game 
148,jogo para desligar cérebro matar polícias
149,It a game
150,I love the setting lore visuals and the god tier soundtrack but what played of the story was just ok and the side content is very dull m gonna be honest edgerunners baited me into buying this game and it my fault
151,Story is all over the place but still manages to make you feel something Gameplay is fun but its way too easy to become overpowered 
152,Besides the pretty colors and cool rtx visuals this game falls flat on its face If this game was like car it would be 99 honda civic with 5k rims 
153,I thought would enjoy the story didn Everything else is n ok n 
154,Enjoyable like it when gun goes bang and vibe be like futuristic 
155,Amazang 
156,Deep storytelling intense gameplay beautiful graphics 
157,An amazing sequel to it previous but think the pervious game is superior in the story 
158,A sequel to one of the biggest games of 2018 and it BEYOND bloated as hell 
159,GoW 2018 is my second favorite game of all time right next to the original Half Life and this was big disappointment 
160,Clapped at the end like white people on plane
161,Not my fav XB game didn grow attached to the cast in general and overall felt that the game always wanted to show me how great it was compared to the others which didn like 
162,I love this video game
163,Most of the content consume doesn affect me emotionally but even experienced an emotional damage from Xenoblade Chronicles 3 because its world was so depressive and the musics were supporting that depressive atmosphere Thanks to Tetsuya Takahashi great storytelling found myself caring about the characters the story and of course the world 
164,Woah
165,This certainly was long game For context have played xenoblade 1dx and seen 2 on youtube so will mostly probobly be comparing it to xenoblade 1 The concept is immedietly quite interesting although
166,hmmmmmmm Kind of divisive one here for me personally While liked the characters the plot felt kind of lacking and the connections to the other games in the series that were so hyped up by nintendo in marketing really didn add to much if anything You could have replaced the references to the previous games with original stuff and nothing substantial would be different In that aspect this game was really disappointing The villains were also an absolute joke with the Mobius guys being the most generically boring guys in history and being immensely less cool the more you learn about him In terms of the gameplay though it was certainly fun The class system makes combat very customizable and feel its absolutely possible to sink your teeth really into managing your party to get the most out of all your options also did lot of side content in this game which is uncharacteristic of me as beelined it through the first two games Exploration of the worlds is always fun in xenoblade games and this is no exception Perhaps am just getting tired of the series but this definitely didn hit as much as the first or even the second game to me Still would suggest to anyone that enjoyed the first two games because the gameplay is still fun but like yeaaaahh 
167,Kirby and the Forgotten Land is one of the harder games for me to rate The reason for this is what think of the game vs my own personal feelings with the game 
168,Keep making games like this Hal
169,Incredible jump to 3D for the Kirby games while still managing to feel like classic Kirby title The game makes amazing use of 3D environments to add new layer of exploration and creativity to every single level and had lot of fun clearing the main and extra stories with all bonus challenges While the main content is easy and very chill bonus optional content can be very tricky Only thing disliked were few difficulty spikes in some side objectives and the lack of restart from checkpoint button but overall this is masterful game that makes the most out of its simplicity as Kirby game but this time you can swallow whole car and spit it unharmed 
170,kirby and the ermmmmm GOAT n if future kirby games are like this totally wouldn mind that the gameplay is quite honestly an upgrade to the original formula the bosses quite specifically are the most fun fights ve had in quite while great stuff right here
171,Perhaps the best Kirby game since 64 and Roboplanet with great ability upgrades inventive levels great bosses and of course thick layer of cute smothered all over every aspect 
172,Replayed with the kids The later levels and the treasure road portals make great use of every power The hidden waddle dees push you to explore sure but also demand perfection for few bosses And the forgotten islands prove the developers knew exactly what they were doing few enemies get additional move sets that expertly increase the pressure If anything wanted dodge move to help me out some more n kept Easy on the entire play through and barely scraped by the back part of the game Yet it always changing enemy and levels up enough that it never feels repetitive If anything was left wanting just taste more n Overall great Kirby game and great video game 
173,a captivating journey from start to finish this uses its characters and dialogue to such great effect making everything feel intertwined our protagonist mind especially was so interesting to delve into and finding out little bits and pieces of his identity was just joy to do while the game lets do things without kitsuragi at times never wanted to as he brought much to every scene he was active in very satisfying resolution and to top it off its simply hilarious at times as well n love kim kitsuragi sm
174,I love you Kim Kitsuragi
175,one of the most interesting politically poignant pieces of art ve ever had the pleasure of consuming
176,I couldn finish day 1 Playing this game feels like chore which is never good sign This was my second attempt at finishing the game and actually got lot further than on my first one might pick this up again sometime in the future but don think this game is for me 
177,Still unsure whether like the ending or not and for game with some of the best worldbuilding ve ever seen wish more of the game had to do with that world but at the end of the day it still the best writing any game has ever had so can be too mad
178,I was very scared of playing this because knew it has lot of text and crazy big skill tree n First day ingame was horrible kept making bad decisions and throws and even got game over Also the game talks about politics in deep and serious way so kinda felt like kid in an adult game haha honestly thought would just abandonned it but at the end of the day there this discussion you have with Kitsuragi and he being very nice and comprehensive and it put me in good mood So just decided to go with the fact that m playing pretty bad cop and continue with the game n In the end really liked it beautiful art direction and visuals loved discovering more about the world Tho still probably didn really understood all the themes and ideas of this game 
179,Platinum
180,This is spiderman game
181,abartıldığı kadar iyi değil ama oldukça iyi
182,Best Spider Man game Easily Only nostalgia can beat it 
183,Really makes you feel like Spider Man
184,Just incredible The story tears The gameplays so fun 
185,The only soulsborne game dont ever want to replay 
186,Finally beat this one after 5 years Not as enjoyable as the other souls like for me and can really put my finger on it But it was still dark souls so overall good time 
187,meh mi parece el peor me parece re poco rejugable aburrid
188,perfect 
189,Lacks bit of the soul charm that made DS1 an instant classic but it has some of the best areas in the series and is BY FAR the most consistent game From has ever made from boss standpoint until Sekiro released
190,This was fun we played so many times
191,Not as good as automata but still slaps
192,Tem dos piores game designs que já vi num jogo de mundo aberto n Yoko Taro é mid
193,Todos os elogios versão original se aplicam aqui porém meu apego pelo NieR Gestalt não me deixa dar nota máxima pra esse Remake Sem contar que ele tentou copiar bastante Automata isso me desagradou bastante principalmente no visual que eu achava fantástico no original 
194,Muito bom porem embora seja um remake ainda continua com uma cara de jogo antigo me prendeu até primeiro final não tankei fazer todos os outros 4
195,Nier is such memorable game that changed the ways that stories could be told Playing the game again and again to see different perspectives and context is such creative tool when given limited tools The gameplay is fun and is just classic hack and slash with magic tools that are all fun to use against enemies 
196,The good story and hot characters does not redeem the game from it Devil May Cry 2 level of action game design
197,We all know the importance of this game and what it brought to video games as whole 
198,Some fun jumping
199,The perfect sudo conclusion to the series that just takes all of the best elements of mario and expands upon them Hot take actually like the camera in this game
200,ahhh eu queria zerar mas ainda não zerei pq eu vou zerar depois SO LONG LE BOWSER
201,AMO DEMAIS ESSE JOGO MEU DEUS QUE JOGO PERFEITO
202,A masterpiece Easily in the conversation of the best game of all time This is coming from someone with no nostalgia tied to it and playing it 27 years after release Blown away by how well it holds up especially in terms of level design and platforming The camera was minor nuisance not enough to detract from the value and the controls were not problem Aged like wine 
203,Recomendadisimo aunque el modo historia no lo llamaria asi XD 
204,i hate it but love it 
205,I a Captain Falcon main sadge
206,hide your children do not let them go anywhere near the smash bros community and as adults you still do not let them go anywhere near the smash bros community fun casual game please take casual showers 
207,Sakurai gotta stop doing this to urself
208,It is without doubt the definitive version of well refined formula just never had fun playing any of the games in the franchise bought this one hoping the solo mode would deliver unfortunately it never ending grind with very little payoff 
209,FANTASTIC MUSIC Great art style obviously and really fun gameplay Definitely had me picking up the controller again instead of breaking TV call that patience 
210,Amo estilo cartoon desse jogo 
211,clllllllllllaaaasico
212,A great boss rush game with great 1930s cartoony art style The only drawback is the inclusion of linear stages that are too easy and not interesting enough that they shouldn have been included 
213,A brilliant hard but clever and never unfair run and gun shooter The platformer levels were unnecessary and are not as good as the others though 
214,I ve had bit of troubled history with Cuphead Before now ve tried it on two different occasions both with varying results My first attempt ended pretty swiftly since didn have controller and the keyboard controls are really bad The game didn quite jive with me at that point but my main problem at that point was the hell that is cuphead with keyboard controls year or two later would play through the whole game and later the DLC in co op with friend We did this over Steam so there was bit of lag but had controller and friend to help me through enjoyed the game lot more to the point where was the one pushing us to do the DLC together but it still didn quite enamour me like d wanted it to My main complaint at the time was the design of some of the bosses felt that lot of them relied on being able to pay attention to cues and bullets coming from multiple parts of the screen often with them all acting completely independently have huge amount of trouble processing all of that information so oftentimes found bosses just far too overwhelming Not design issue or anything more of personal one 
215,Im waiting for this game to grab me but it hasn happened yet n dont know why enjoy dying to the same boss for 3 hours in Soulsborne games but not in this game 
216,Loved this lot missed the sense of exploration from Dark Souls but the core action mechanics and satisfying parries more than made up for it Other than basic whole number for your damage and health there 
217,o worryi
218,bout RPG v
219,es here It a tr
220,ction g
221,taking plac
222,ithin the open 
223,ld Met
224,d 
225,Souls structure backed up wit
226,ome n item
227,nd buffs
228,d ju
229,f you dec
230,to us
231,hem Bu
232,he lack of gear is probably
233,e best t
234,g about this 
235,arm
236,sets no elemental stats no swo
237,ha
238,eals 5
239,m
240,but 2 stamina Funnily
241,ough people say this is the hardest FromSoftware game but after while it felt much much easier to me tha
242,ark Souls n because n there was nothing in my way except my own skill which greatly prefer No main bosses that required some stupid consumable item for me to defeat properly don like feeling as if need to grind to make myself better because then it this vague guessing game of numbers There were few points in
243,rk Souls where felt robbed of
244,oss fight
245,caus
246,must have been over levelled or
247,aid 
248,ew it summoned an NPC once and then steam 
249,I bought this game on Nintendo Switch with 20 dollar Switch gift card bought myself as end of the school year present just finished Sophomore year and life was pretty rough started playing FF7 and my life began to change lil bit was so confused playing it but that just made me want to play it more used to work at summer camp and on the bus ride there would take my switch and play it 40 minutes there 40 minutes back So on average played an hour and 20 minutes day of FF7 
250,play dragon quest instead
251,honestly not that good as some people say but still interesting and some characters are cool
252,This guy are sick
253,really chill of them to add random encounter toggle and x3 speed setting to accommodate for my rapidly disintegrating frontal lobe
254,What the hell do even say here It FF7 It beautiful Story wise at least 
255,mfw bitches and whores
256,I love this game so my review is very biased there are many many flaws with this game given its age For example the decade old Naoto trans debate she not she comes to terms with the fact she can be strong self righteous detective AND woman the topic is just handled poorly think this game speaks for the improvement in handling similar topics in newer games and that really important Regardless this is an absolutely amazing game and one of my favorites of all time and would definitely recommend it to anyone willing to try it n Added bonus the soundtrack is awesome
257,naoto is just like me fr fr
258,I cried
259,lo amé todo el tiempo estando jugando el 5 ahora es más lento tosco con mil millones de cosas menos pero la música es mil veces mejor tiene una historia increible
260,genuinely one of the most enjoyable and fun games ever
261,it alright the story is really interesting but the gameplay is bit bland you have to sacrifice your entire hard drive just to install updates every 2 days though
262,I had my genshin phase around the time Raiden Shogun was announced Played lot for while then stopped right before the new dendro area dropped It sallright
263,5 stars for me but let me be really clear This game feels like really big hit or miss feel like there are some misconceptions about this game that if you don come with that bias from the beginning it actually super enjoyable 
264,Ayaka 
265,Solid first 12 hours
266,LMFAO
267,Signalis is an absolute treat Taking inspiration from the classic survival horror games on PlayStation 1 developer rose engine has crafted unique experience that will stick with me for awhile 
268,Silent hill 2 with lesbians
269,Lésbicas futuristas
270,Silent hill 2 for lesbians Nothing special 
271,Got the platinum and did everything on this replay there is no other game quite like this one Survival Horror Masterpiece 
272,i beat this fully in 2 days 7 hours on my first day and 9 on my second day and did promise ending and artifact and im just sitting here basking in it
273,This game is what every Resident Evil game should strive to be Lots of action while also scary at the same time The factory section is bit of snooze fest but thankfully it doesnt last that long and once your done with it the game picks up the pace 
274,Great game in the resident evil series like how it introduced more to the origins of the umbrella corporation 
275,not as good as 7 but still amazing TRASH DLC THO 
276,Resident Evil Village é oitavo jogo da franquia Resident Evil Continuando história de Ethan Winters RE Village se passa 3 anos após os acontecimentos de Resident Evil 7 
277,Emotional support Duke
278,ethan winters is an american hero
279,They got rid of the fun part
280,bro this game is immaculate what else is there to say chef kiss 5 stars yahoo
281,https redd it igl40z7p3xk71 png
282,Mario peaked here
283,While didn love Galaxy as much as other people did it still remains in my eyes as very solid 3D platformer with beautiful graphics and lots of innovations in terms of gameplay at least when compared to previous 3D Mario titles 
284,There are almost no bad mario games but galaxy is such slow game that it makes me want to take nap and have actually fallen asleep at least three times while playing
285,The only bad part of this game is Matthew Perry voice acting
286,Probably my favorite WRPG period there is no experiences that can really top this besides the 2 other games in the series before it inception
287,this game is overrated but peak
288,The story is incredibly strong with tons of fun and memorable characters enjoyed going around exploring and learning about the politics and lore of the world Also trans girl game trans girl game The only place this game lost significant points with me was in the combat which found fairly tedious and enough of problem enough of the time to seriously take away my motivation to play this game Caesar Legion is one of my favorite factions in any video game and the Elvis impersonators are hilarious really need to go back and get all three main endings 
289,Trans rights WHOOOOOOOOO 
290,My indecisiveness and reluctance to sacrifice one quest for another is the other thing stopping me continuing
291,Replayed with my girlfriend still the best game of all time Nothing compares
292,The more think about this game the more love it and realize how unique it is n Such an amazing feeling exploring this solar system contemplating the infinite dark space with the beautiful score playing So satisfying to unravel the mysteries and to understand what you need to do especially when you need to be little bold There a big sense of cohesion in this whole game n The ending is really powerful and you can really feel that you re witnessing something big n It not my personnal favorite game of all time yet feel like it might the best game ever made if that makes sense 
293,my favorite game ever
294,the most engaging puzzles riddles ive ever seen in game solutions are very clever but not unfair exploring the planets and their ruins and stumbling on all kinds of crazy shit is great time and unraveling the mystery one step at time so you can piece together the bigger picture is incredibly satisfying the environment design is also amazing and the concepts in the later portions of the game are so cool and interesting cant elaborate because of spoilers the dlc is just okay though ngl exploring the setting was cool but it felt like lot of running around doing busy work for very little reward
295,Lo intente en 3 oportunidades nunca me logró engancharme está bueno pero medio pelo para mí
